proveedor ,dependencia ,numero de expediente,hechos de irregularidad,objeto social ,sentido de resolucion,fecha de notificacion ,fecha de resolucion ,plazo ,monto ,nombre responsable de la informacion ,fecha de actualizacion ,
3R INNOVACIîN Y DISE„O  S.A. DE  C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0041/2013","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO.","	3RINNOVACION@LIVE.COM.MX.","	SANCIONATORIA CON MULTA","	19/08/2014","	06/08/2014","	","	90664.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DESARROLLOS CODEV  S.A DE C.V.  CONSTRUCCIONES Y DESARROLLOS BURBAN S.A DE C.V.  CONSTRUCTORA ANGULA,"	SECRETARIA DE COMUNICACIONES Y TRANSPORTES","	0023/2007","	SE DETECTO CONVENIO DE PARTCICIPACION APOCRIFO","	EJECUCIîN DE TODA CLASE DE OBRAS DE INGENIERêA CIVIL DE TODO TIPO  FABRICACIîN DE MATERIALES PARA CONSTRUCCIîN  ETC","	SANCIONATORIA CON MULTA E INHABILITACIîN","	07/05/2008","	07/05/2008","	1 A„O","	301754.00","	HECTOR MANUEL MONTES GAYTAN","	06/12/2018 08:12",
DESARROLLOS Y CONSTRUCCIONES AMƒRICA  S.A. DE C.V.,"	COMISION NACIONAL DEL AGUA","	0190/2004","	PRESUNTAMENTE APORTî INFORMACIîN FALSA EN CUANTO AL CUMPLIMIENTO DE SUS OBLIGACIONES FISCALES","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	09/01/2006","	29/12/2005","	3 MESES","	67657.50","	LIC. MIGUEL ANGEL LARA GARCIA","	06/12/2018 08:12",
DESIGN NET  S.A DE C.V.,"	SERVICIOS A LA NAVEGACIîN EN EL ESPACIO AEREO MEXICANO","	0001/2012","	NO ENTREGî LA GARANTIA DEL CUMPLIMIENTO DEL CONTRATO DENTRO DEL TERMINO ESTABLECIDO  ES DECIR DIEZ DIAS NATUALES SIGUIENTES A LA FECHA DE LA FIRMA DEL PEDIDO","	","	SANCIONATORIA CON MULTA","	21/12/2012","	19/12/2012","	","	89730.00","	LEONEL FLORIBERTO ROBLES CALVO","	06/12/2018 08:12",
DESP FREYSSINIER MORIN SC,"	COMISION REGULADORA DE ENERGIA","	0001/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	SERVICIOS PROFESIONALES DE AUDITORIA  IMPUESTOS Y CONSULTORIA","	SANCIONATORIA CON MULTA E INHABILITACIîN","	29/09/2006","	15/09/2006","	3 MESES","	72540.00","	CLAUDIA ESTELA AGUILAR HERNANDEZ","	06/12/2018 08:12",
DESPAC  S.A. DE C.V.,"	FONDO DE CULTURA ECONOMICA","	0001/2011","	DECLINA AL FALLO ADJUDICADO  POR LO TANTO NO FORMALIZA EL CONTRATO.","	COMERCIALIZADORA","	SANCIONATORIA CON MULTA","	29/11/2011","	21/11/2011","	","	86552.00","	SAMANTA MERIT BOONE GORIBAR","	06/12/2018 08:12",
DESPLAZAMIENTOS ELECTROMECçNICOS S. DE R.L. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0010/2015","	PRESENTî INFORMACIîN FALSA AL MOMENTO DE PRESENTAR LA INCONFORMIDAD AL NO ESTAR DEBIDAMENTE LEGITIMADO PARA HACERLO.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/06/2016","	02/05/2016","	1 A„O","	417198.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
DESPLAZAMIENTOS ELECTROMECçNICOS S. DE R.L. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0030/2015","	PRESENTACIîN DE INFORMACIîN FALSA.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/06/2016","	02/06/2016","	1 A„O","	417198.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
DEWALT CENTER  S.A. DE C.V.,"	PEMEX REFINACION","	0155/2006","	PRESENTî INFORMACIîN FALSA  AL NO CUMPLIR CON EL GRADO DE INTEGRACION NACIONAL","	COMPRA VENTA DE ARTICULOS DE FERRETERIA E INDUSTRIA","	SANCIONATORIA CON MULTA E INHABILITACIîN","	26/02/2007","	21/02/2007","	1 A„O 6 MESES","	63225.00","	JAVIER RAMIREZ GARCIA","	06/12/2018 08:12",
DIABETES INTEGRAL  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0005/2016","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA  OMITIî FORMALIZAR EL CONTRATO NO. U150624.","	","	SANCIONATORIA CON MULTA","	22/06/2018","	15/06/2018","	","	108655.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DIAGNOLIFE  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0045/2011","	60 FRACCIîN IV  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO.  <br>ACTUî CON DOLO EN LA CELEBRACIîN DEL CONTRATO DRMSG-002-10  PARA EL SERVICIO INTEGRAL PARA LA VACUNACIîN CONTRA EL VIRUS DE LA INFLUENZA AH1N1 Y ESTACIONAL  PARA BENEFICIARIOS DEL PROGRAMA ALBERGUES ESCOLARES INDêGENAS  SUSCRITO CON LA COMISIîN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDêGENAS  AL MANIFESTAR BAJO PROTESTA DE DECIR VERDAD QUE CONTABA CON LA CAPACIDAD PROFESIONAL PARA CUMPLIR CON LAS OBLIGACIONES CONTRACTUALES  Y QUE TENêA LOS ELEMENTOS TƒCNICOS  HUMANOS Y MATERIALES  CONTRATANDO A SU VEZ A UN TERCERO QUE CUMPLIMENTARA LAS MISMAS.","	FABRICACIîN  PRODUCCIîN  COMPRA  VENTA  DISTRIBUCIîN  IMPORTACIîN  EXPORTACIîN  COMISIîN  CONSIGNACIîN  ARRENDAMIENTO  SUB-ARRENDAMIENTO Y EL COMERCIO EN GENERAL CON TODA CLASE DE PRODUCTOS FARMACƒUTICOS  MEDICAMENTOS  ARTêCULOS  EQUIPOS E INSTRUMENTAL MƒDICO  AGENTES DE DIAGNîSTICO  MATERIAL DE CURACIîN  PRODUCTOS BIOLîGICOS Y QUêMICOS  ACCESORIOS  APARATOS Y EQUIPO MƒDICO EN GENERAL.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	06/03/2012","	21/02/2012","	3 A„OS 3 MESES","	1137708.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
DIAGNOLIFE S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0027/2011","	48  FRACCIîN I  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO. <br>OMITIî PRESENTAR LA GARANTêA DE ANTICIPO DEL CONTRATO RELATIVO AL SERVICIO INTEGRAL PARA LA VACUNACIîN CONTRA EL VIRUS DE LA INFLUENZA AH1N1 Y ESTACIONAL  PARA BENEFICIARIOS DEL PROGRAMA ALBERGUES ESCOLARES INDêGENAS  SUSCRITO CON LA COMISIîN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDêGENAS.","	FABRICACION  PRODUCCIîN  COMPRA VENTA  DISTRIBUCIîN  IMPORTACIîN  EXPORTACIîN COMISIîN  CONSIGNACIîN ARRENDAMIENTO  SUB ARRENDAMIENTO Y EL COMERCIO EN GENERAL DE TODA CLASE DE PRODUCTOS FARMACEUTICOS  MEDICAMENTOS ARTêCULOS  EQUIPOS E INSTRUMENTAL MƒDICOS Y TODO TIPO DE ARTICULOS RELACIONADOS","	SANCIONATORIA CON MULTA","	06/03/2012","	21/02/2012","	","	1137708.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
DIAGNOLIFE S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0035/2011","	48  FRACCIîN II  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO.  <br>OMITIî PRESENTAR LA GARANTêA DE CUMPLIMIENTO DEL CONTRATO PARA EL SERVICIO INTEGRAL PARA LA VACUNACIîN CONTRA EL VIRUS DE LA INFLUENZA AH1N1 Y ESTACIONAL  PARA BENEFICIARIOS DEL PROGRAMA ALBERGUES ESCOLARES INDêGENAS  SUSCRITO CON LA COMISIîN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDêGENAS.","	FABRICACION  PRODUCCIîN  COMPRA VENTA  DISTRIBUCIîN  IMPORTACIîN  EXPORTACIîN COMISIîN  CONSIGNACIîN ARRENDAMIENTO  SUB ARRENDAMIENTO Y EL COMERCIO EN GENERAL DE TODA CLASE DE PRODUCTOS FARMACEUTICOS  MEDICAMENTOS ARTêCULOS  EQUIPOS E INSTRUMENTAL MƒDICOS Y TODO TIPO DE ARTICULOS RELACIONADOS","	SANCIONATORIA CON MULTA","	06/03/2012","	21/02/2012","	","	1137708.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
DIAGNOSTICO Y SISTEMAS ESPECIALIZADOS  S.A. DE C.V.,"	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","	0033/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	31/01/2007","	17/01/2007","	3 MESES","	70122.00","	JUANA PADILLA TAPIA","	06/12/2018 08:12",
DIAGNOSTICOS Y SISTEMAS ESPECIALIZADOS  S.A DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0332/2004","	INFORMACION FALSA","	COMPRA VENTA DE PRODUCTOS QUIMICOS  FARMACEUTICOS.","	SANCIONATORIA","	05/10/2010","	28/09/2010","	1 A„O 9 MESES","	515736.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DIANA CARMONA çLVAREZ,"	COMISION NACIONAL DEL AGUA","	0043/2007","	LA PERSONA FISICA DIANA CARMONA ALVAREZ.  ENTREGO EL REPORTE NO. 98646  PRESUNTAMENTE EMITIDO POR LA EMPRESA INTERTEK TESTING SERVICE DE MEXICO  S.A DE CV.  SIENDO QUE LA EMPRESA INTERTEK TESTING COMUNICO QUE ES FALSIFICADO.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	15/04/2008","	28/03/2008","	1 A„O 5 MESES","	470301.00","	LIC. MIGUEL ANGEL LARA GARCIA","	06/12/2018 08:12",
DIECSA  S.A DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0398/2003","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	25/08/2006","	22/08/2006","	3 MESES","	62542.50","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DIECSA S.A. DE C.V.,"	INSTITUTO NACIONAL PARA LA EDUCACIîN DE LOS ADULTOS","	0006/2004","	PROPORCIONAR INFORMACION FALSA","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	01/04/2005","	29/03/2005","	3 MESES","	65475.00","	MIRNA MONICA OCHOA LOPEZ","	06/12/2018 08:12",
DIEGO ARMANDO ANAYA VAZQUEZ,"	COMISION FEDERAL DE ELECTRICIDAD","	0036/2014","	NO FORMALIZî POR LA NO PRESENTACIîN DE LA OPINIîN DE CUMPLIMIENTO DE LAS OBLIGACIONES FISCALES.","	","	SANCIONATORIA CON MULTA","	01/10/2015","	30/09/2015","	","	100935.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
DILME  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0031/2017","	LA EMPRESA PROPORCIONî INFORMACIîN NO VERAZ (FACTURAS)","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/10/2018","	01/10/2018","	1 A„O 6 MESES","	679272.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DIMAJAL  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0029/2016","	NO FORMALIZACIîN DEL CONTRATO POR CAUSAS IMPUTABLES AL LICITANTE","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	22/11/2016","	14/11/2016","	3 MESES","	113212.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
DIONETRIC CONSTRUCCIONES  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0046/2016","	NO FORMALIZAR EL CONTRATO DN000-094/16  QUE LE FUE ADJUDICADO MEDIANTE PROCEDIMIENTO DE INVITACIîN A CUANDO MENOS TRES PERSONAS NòMERO IO-018TOQ115-E135-2016  CORRESPONDIENTE AL PROYECTO ÒRECALIBRACION DE LINEA DE MT DE CIRCUITOS TDV-53065  TTO-53045  TDV-53025  TDV-53015  1C 3F-4H ACSR 3/0 EN EL AMBITO GEOGRAFICO DE LA ZONA TENANGO DE LA DIVISION VALLE DE MEXICO SURÓ","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	17/03/2017","	08/03/2017","	3 MESES","	109560.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
DIRECCION ANALISIS Y CONSTRUCCIONES S.A. DE C.V.,"	INSTITUTO NACIONAL DE PEDIATRIA","	0001/2014","	LA EMPRESA DIRECCION ANALISIS Y CONSTRUCCIONES S.A DE C.V. PROPORCIONO INFORMACION Y DOCUMENTACION FALSA DENTRO DE LA LICITACION PUBLICA NACIONAL NO. LO-012NCZ002-N10-2013  PARA LA CONTRATACION DE LA SUPERVISION TECNICA-ADMINISTARTIVA PARA LA CONSTRUCCION DE LA UNIDAD PEDIATRICA DE HEMATO-ONCOLOGIA.","	CONSTRUCCION DE INMUEBLES COMERCIALES  INSTITUCIONALES Y DE SERVICIOS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	15/09/2014","	01/09/2014","	2 A„OS","	1.00","	ABEL PALMA APARICIO","	06/12/2018 08:12",
DISE„O  CONSTRUCCIîN Y ESTUDIOS ESPECIALIZADOS  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0359/2005","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	10/04/2006","	10/04/2006","	3 MESES","	72540.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
DISE„O  ORGANIZACIîN Y TECNOLOGêA  S. DE R.L. DE C.V.,"	PRONOSTICOS PARA LA ASISTENCIA PòBLICA","	0026/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	EL ANçLISIS  DISE„O E IMPLANTACIîN DE SISTEMAS DE CîMPUTO Y REDES DE CîMPUTO  ASê COMO LA INSTALACIîN  MANTENIMIENTO Y REPARACIîN DE TODA CLASE DE EQUIPO DE CîMPUTO.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	24/01/2007","	16/01/2007","	3 MESES","	72540.00","	REBECA PEREZ CHACîN","	06/12/2018 08:12",
DISE„O ARTE Y CONSTRUCCIîN ROMA  S.A.,"	CFE TRANSMISIîN","	0006/2017","	NO FORMALIZACIîN DEL CONTRATO 800814806  EN LA FECHA ESTABLECIDA PARA TAL EFECTO POR CAUSAS QUE LE SON IMPUTABLES AL LICITANTE ","	","	SANCIONATORIA CON MULTA","	19/02/2018","	16/02/2018","	","	124062.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
DISE„O PARTICULAR EN LIMPIEZA S.A. DE C.V.,"	GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO  S.A.","	0002/2017","	PRESENTACIîN DE DOCUMENTACIîN FALSA  CONSISTENTE EN LA OPINIîN POSITIVA EMITIDA POR EL SERVICIO DE ADMINISTRACIîN TRIBUTARIA.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	04/04/2018","	27/03/2018","	2 A„OS 6 MESES","	1206000.00","	VêCTOR REYNA  MONTALVçN","	06/12/2018 08:12",
DISE„O Y CONSTRUCCION CIVIL ARQUITECTONICO  S.A. (DYCCA  S.A.),"	PEMEX EXPLORACIîN Y PRODUCCION","	0019/2011","	HA PROPORCIONADO INFORMACION PRESUNTAMENTE FALSA «CONSISTENTE EN CARTAS DE LINEAS DE CREDITO  PARA ACREDITAR LA CAPACIDAD FINANCIERA DE LA EMPRESA","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	14/11/2012","	13/11/2012","	2 A„OS 6 MESES","	927210.00","	","	06/12/2018 08:12",
DISTRIBUCIONES FONTAMARA  S.A.,"	SECRETARIA DE EDUCACIîN PòBLICA","	0016/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	25/01/2007","	17/01/2007","	3 MESES","	72540.00","	ROCIO CUESTA SOLANO","	06/12/2018 08:12",
DISTRIBUIDOR RESTAURANTERO  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0201/2009","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D90149","	","	SANCIONATORIA CON MULTA","	15/07/2011","	11/07/2011","	","	16988.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DISTRIBUIDORA ARVIJO  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0009/2014","	NO FORMALIZî EL CONTRATO QUE LE FUE ADJUDICADO  POR CAUSAS QUE LE SON ATRIBUIBLES","	COMPRAVENTA DE TODA CLASE DE EQUIPOS DE OFICINAS  ESCUELAS  COMERCIOS  ASê COMO LA DISTRIBUCIîN  INSTALACIîN  SERVICIO Y  MANTENIMIENTO DE LOS MISMOS.","	SANCIONATORIA CON MULTA","	24/02/2015","	16/02/2015","	","	94206.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
DISTRIBUIDORA CEPPI  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0235/2006","	LA EMPRESA NO FORMALIZO EL CONTRATO NO. D50278","	COMPRA VENTA Y DISTRIBUCION DE ARTICULOS INDUSTRIALES","	SANCIONATORIA CON MULTA E INHABILITACIîN","	29/04/2010","	26/04/2010","	3 MESES","	70200.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DISTRIBUIDORA CEPPI  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0726/2006","	LA EMPRESA NO FORMALIZO EL CONTRATO NO. MA0004.","	COMPRA  VENTA Y DISTRIBUCION DE TODO TIPO DE ARTICULOS  INDUSTRIALES Y COMERCIALES","	SANCIONATORIA CON MULTA E INHABILITACIîN","	29/04/2010","	26/04/2010","	3 MESES","	70200.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DISTRIBUIDORA DIDACTIMEX  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0318/2007","	LA EMPRESA ACTUî CON DOLO AL PRESENTAR DOCUMENTACIîN APîCRIFA.","	VENTA Y DISTRIBUCION DE MATERIAL DE OFICINA  UTILES ESCOLARES  MATERIAL DIDACTICO Y PAPELERIA  MOBILIARIO ESCOLAR Y DE OFICINA  ARTICULOS DEPORTIVOS  ETC.","	SANCIONATORIA","	09/05/2011","	02/05/2011","	2 A„OS 2 MESES","	637182.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DISTRIBUIDORA ELƒCTRICA GARZA  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0033/2017","	INCUMPLIMIENTO CONTRACTUAL","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	16/10/2018","	02/10/2018","	2 A„OS 3 MESES","	977895.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
DISTRIBUIDORA FARMACƒUTICA MEDICOR  S. DE R.L. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0426/2008","	LA EMPRESA SE CONDUJO CON FALSEDAD  AL MANIFESTAR BAJO PROTESTA DE DECIR VERDAD QUE SUS PRODUCTOS CUMPLEN CON EL GRADO DE CONTENIDO NACIONAL.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	07/09/2011","	22/08/2011","	2 A„OS","	75855.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DISTRIBUIDORA FERRETERA EL TIGRE  S.A. DE C.V.,"	PEMEX EXPLORACIîN Y PRODUCCION","	0017/2009","	PRESENTO INCONFORMIDAD EN CONTRA DE FALLO DE FECHA 27 DE FEBRERO DE 2009  MISMAS QUE POR ECONOMIA PROCESAL SE TIENEN POR REPRODUCIDAS COMO SI A LA LETRA ESTUVIESEN INSERTADAS.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	23/02/2011","	17/02/2011","	2 A„OS 6 MESES","	730050.00","	","	06/12/2018 08:12",
DISTRIBUIDORA FERRETERA TIGRE  S.A. DE C.V.,"	PEMEX EXPLORACIîN Y PRODUCCION","	0135/2008","	NO FORMALIZACION DEL CONTRATO 422058007 POR CAUSAS IMPUTABLES A LA EMPRESA","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/01/2011","	21/12/2010","	3 MESES","	81514.50","	","	06/12/2018 08:12",
DISTRIBUIDORA FERRETERA TIGRE  S.A. DE C.V.,"	PEMEX GAS Y PETROQUIMICA BASICA","	0009/2009","	LA EMPRESA OMITIî FIRMAR EL CONTRATO DENTRO DEL TƒRMINO LEGAL","	FABRICACIîN  COMPRA Y VENTA DE ARTêCULOS PARA LA INDUSTRIA EN GENERAL","	SANCIONATORIA CON MULTA E INHABILITACIîN","	27/07/2009","	21/07/2009","	3 MESES","	84940.00","	","	06/12/2018 08:12",
DISTRIBUIDORA KALA  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0128/2014","	LA EMPRESA PROPORCIONî INFORMACIîN FALSA DURANTE LA VIGENCIA DEL CONTRATO NO. D130139.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	30/03/2017","	23/03/2017","	1 A„O 6 MESES","	625797.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DISTRIBUIDORA MEDHER  S.A. DE C.V.,"	INSTITUTO NACIONAL DE CANCEROLOGIA","	0006/2009","	RESCISION DEL PEDIDO P09-000001 EN VIRTUD DE NO HABER ENTREGADO LOS BIENES ADJUDICADOS","	COMPRA  VENTA  DISTRIBUCION DE MEDICAMENTOS  MATERIAL DE CURACIîN  EQUIPO RADIOLîGICO Y EQUIPO MEDICO","	SANCIONATORIA CON MULTA","	12/08/2010","	04/08/2010","	","	90659.50","	ABRAHAM  TORRES  MAGA„A","	06/12/2018 08:12",
DISTRIBUIDORA MƒDICA COMERCIAL HERRERA HERNçNDEZ  S.A. DE C.V.,"	SECRETARIA DE SALUD","	0001/2009","	NO FORMALIZî EL CONTRATO 2008-145-LPI-11-B DEL 6 DE NOVIEMBRE DE 2008  QUE LA DGRMYSG LE ADJUDICî DURANTE SU PARTICIPACIîN EN LA LPI  00012005-011-08","	ADQUISICîN  ENAJENACIîN  IMPORTACIîN  EXPORTACIîN  REPARACIîN  MANTENIMIENTO  ALQUILER  DISTRIBUICIîN  Y COMERCIO EN GENERAL POR CUENTA PROPIA O AJENA DE TODA CLASE DE EQUIPOS MƒDICOS  INSTRUMENTOS  MUEBLES O MATERIAL MƒDICO  DE CURACIîN  MEDICAMENTOS Y TODA CLASE DE ARTêCULOS PROPIOS PARA SANATORIOS  HOSPITALES  LABORATORIOS  ASILOS Y DEMçS INSTITUCIONES DE ASISTENCIA A LOS ENEFERMOS  ASê COMO DE TODA CLASE DE ARTêCULOS ANEXOS  CONEXOS O SIMILARES.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	13/04/2009","	30/03/2009","	3 MESES","	81514.00","	","	06/12/2018 08:12",
DISTRIBUIDORA MEDICA GASO  S.A. DE C.V.,"	CENTRO REGIONAL DE ALTA ESPECIALIDAD DE CHIAPAS","	0001/2015","	HABER INCUMPLIDO CON LA ENTREGA DE LA INFORMACIîN SOLICITADA EN LA FRACCIîN VII DEL ARTêCULO 41  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO  PARA LA ADJUDICACIîN DIRECTA POR EL ÒSERVICIO INTEGRAL DE CIRUGêA CARDIOVASCULARÓ  ASê TAMBIƒN  HABER INCUMPLIDO LO ESTABLECIDO EN EL ARTêCULO 48 Y 53 DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO.","	SERVICIO INTEGRAL DE CIRUGêA CARDIOVASCULAR","	SANCIONATORIA CON MULTA E INHABILITACIîN","	12/10/2016","	30/09/2016","	2 A„OS 6 MESES","	934950.00","	ERNESTO DOMêNGUEZ GîMEZ","	06/12/2018 08:12",
DISTRIBUIDORA MƒDICA PTH S.A. DE C.V.,"	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","	0004/2012","	PRESUNTAMENTE LA CARTA DE RESPALDO DEL FABRICANTE NO FUE FIRMADA POR EL REPRESENTANTE DE LA EMPRESA GRISI HNOS  S.A. DE C.V.","	COMPRA VENTA IMPORTACION EXPORTACION MANUFACTURA FABRICACION PRODUCCION ELABORACION DISTRIBUCION COMECIALIZACION  DE MEDICAMENTOS Y SUBSTANCIAS NATURALES O SINTETICAS  ETC.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	30/07/2013","	08/07/2013","	3 MESES","	93495.00","	JUANA PADILLA TAPIA","	06/12/2018 08:12",
DISTRIBUIDORA MEDICICUR  S.A. DE C.V.,"	ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL","	0003/2012","	LA EMPRESA DISTRIBUIDORA MEDICICUR  INCUMPLIî CON LA ENTREGA DE LOS BIENES ADJDICADOS  RAZîN POR LA CUAL SE LE RESCINDIî EL CONTTRATO RESPECTIVO","	LA EMPRESA DISTRIBUIDORA MEDICICUR  INCUMPLIî CON LA ENTREGA DE LOS BIENES ADJDICADOS  RAZîN POR LA CUAL SE LE RESCINDIî EL CONTTRATO RESPECTIVO","	SANCIONATORIA CON MULTA","	20/05/2014","	14/05/2014","	","	89730.00","	","	06/12/2018 08:12",
DISTRIBUIDORA MEGAMAK  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0074/2008","	SE NEGî A FIRMAR EL CONTRATO QUE LE FUE ADJUDICADO.","	FABRICACIîN  COMPRA  VENTA  DISTRIBUCIîN  COMERCIALIZACIîN  IMPORTACIîN Y EXPORTACIîN DE TODA CLASE DE MOTORES AUTOMOTRICES  MARINOS E INDUSTRIALES  ASê COMO DE TODA CLASE DE REFACCIONES Y ACCESORIOS PARA LOS MISMOS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	11/08/2008","	08/08/2008","	3 MESES","	81514.50","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
